RESORT,ORDER_BY,NEXUS_ROOM_TYPE
41102,3,"QQ,WQB"
95442,1,"T,XBL"
05466,5,"K,BJP"
38083,2,"Q,EVE"
31016,3,"SQQ,DQE"
98163,4,"K,RLZ"
38083,3,"QQ,EVE"
38083,8,"K,CNC"
22009,8,"K,OBP"
38083,6,"Q,TCY"
41103,6,"WQ,BAQ"
36160,3,"QQ,UMU"
38139,5,"SQ,KRL"
05172,4,"K,KTB"
90792,6,"QT,AGU"
36106,6,"SK,PAT"
19077,12,"K,MCI"
93636,6,"TT,WKY"
93636,3,"Q,WKY"
93636,5,"QT,WLD"
93636,4,"DT,WLI"
38173,6,"K,ZHS"
83705,8,"SK,AXT"
26150,1,"QQ,NIH"
06171,9,"QQ,BPO"
12012,5,"K,LRR"
12012,2,"TT,GQI"
34071,5,"K,TQC"
51023,5,"Q,TQH"
20022,2,"K,YTG"
20022,4,"Q,BAQ"
74023,3,"SQ,AHW"
44657,1,"K,GOR"
44657,8,"K,CNC"
44657,6,"K,DVC"
07012,3,"DD,BJP"
61079,4,"S12,FPF"
61062,1,"QQ,MPN"
78523,2,"D,FPI"
93818,1,"D,FPS"
67007,7,"SK,AJL"
42022,3,"DD,GAE"
48171,2,"K,XYG"
14159,1,"K,LYN"
19077,13,"QQ,MCI"
45082,7,"SQQ,GUJ"
18111,11,"WS2,GUJ"
97409,3,"Q,EKM"
19077,14,"K,CXO"
98311,5,"Q,LJD"
70270,1,"K,COV"
19077,15,"QQ,CXO"
45028,3,"SK,JQN"
36139,7,"SKQ,GUJ"
52025,10,"SQQ,BJP"
52025,9,"WQ,BAM"
01073,6,"K,BAM"
89140,1,"T,RAG"
06108,1,"QQ,HCN"
06108,2,"K,HCN"
06108,6,"QQ,RNH"
01007,5,"DD,SMC"
01007,3,"DD,NMF"
98323,2,"TT,CLA"
98323,3,"K,XBH"
06108,7,"K,RHC"
06108,9,"SQQ,QKN"
54038,1,"DD,MAN"
27002,7,"SK,GKP"
